ARTICLE_ID,CHOSEN_CONCEPT,EXPLANATION
1,COVID-19/coronavirus/pandemic (Triggering anti-Asian hate),"The article discusses that the rise in anti-Asian hate crimes began around the time Donald Trump dubbed the coronavirus as the “Chinese virus.” (""But a huge upswing began just about the time ex-President Donald Trump dubbed the coronavirus plague the 'Chinese virus.'"")"
1,Types of Anti-Asian hate/Individual-level racism/Stereotype B/China/Chinese/Asian virus”/“Kung flu/plague/Ramen noodle flu,"The article mentions the phrase “Chinese virus,” which is a stereotype that contributes to individual-level racism against Asians. (""...Donald Trump dubbed the coronavirus plague the 'Chinese virus.'"")"
1,Types of Anti-Asian hate/Individual-level racism/Racial discrimination/Physical attack/violence/Anti-Asian hate crimes (investigated by police),"The article provides examples of physical attacks and violence against Asian individuals, such as the death of Vicha Ratanapakdee. (""Police presence probably would have spared the death of Vicha Ratanapakdee an 84-year-old Thai-American beaten to death in broad daylight also in San Francisco."")"
1,"Reactions toward Anti-Asian Hate/Law enforcement agency/Local police (e.g., city- and state-level)/Useless law enforcement/Did not take a report on Anti-Asian hate crime","The article mentions that many anti-Asian crimes go unreported or are dismissed by the police, indicating ineffective law enforcement. (""When victims … come forward having the police say nothing can be done discourages other victims from relying on police."")"
1,Reactions toward Anti-Asian Hate/Communities/Asian/Support Asian Americans,"The article talks about rallies and efforts by Asian communities to decry the attacks. (""Not even 700-person rallies decrying the attacks like one the other day in San Jose can stop them."")"
1,Reactions toward Anti-Asian Hate/Individuals/Non-Asians/Donald Trump/Initiated anti-Asian hate and racism,"The article suggests that Donald Trump's rhetoric initiated a surge in anti-Asian hate. (""But a huge upswing began just about the time ex-President Donald Trump dubbed the coronavirus plague the 'Chinese virus.'"")"
1,Impacts of Anti-Asian hate on Asian Americans/Behavioral/Proactive self-defense/protection,"The article argues for increased police presence as a means to protect Asian Americans from random acts of violence. (""Police are their only assured protection from random violence and bigotry when they leave their homes."")"
2,COVID-19/coronavirus/pandemic (Triggering anti-Asian hate),"The article references racist language and false claims about the coronavirus by former President Donald Trump and other public officials, which have fueled discrimination against Asian Americans ('fueled in part by racist language and false claims about the coronavirus by former President Donald Trump')."
2,Types of Anti-Asian hate/Individual-level racism/Stereotype B (with hatred)/China/Chinese/Asian virus”/“Kung flu/plague/Ramen noodle flu,"The article mentions derogatory terms like 'Kung Flu' and 'China Virus' used by Trump, which fall under this concept ('we’re not hearing ‘Kung Flu’ and ‘China Virus’ every other word')."
2,Types of Anti-Asian hate/Individual-level racism/Bigotry/prejudice/Xenophobia,"The overall theme of the article discusses the xenophobia experienced by Asian Americans, especially in the context of the pandemic ('rising discrimination they have experienced and witnessed fueled in part by racist language and false claims about the coronavirus')."
