id,odd
0,"[(0, 0.046361726), (2, 0.2373591), (4, 0.096795894), (6, 0.38416952), (7, 0.08049586), (8, 0.10617219), (9, 0.04563054)]"
1,"[(0, 0.08953267), (3, 0.5035592), (4, 0.1472777), (7, 0.027315248), (8, 0.07239484), (9, 0.14558588)]"
10,"[(0, 0.09605306), (1, 0.053214855), (2, 0.16316217), (4, 0.03235387), (5, 0.014987992), (6, 0.0734995), (7, 0.25224665), (8, 0.063100904), (9, 0.24965543)]"
100,"[(2, 0.2662607), (4, 0.052925374), (6, 0.073490925), (7, 0.012976407), (8, 0.36277163), (9, 0.21250786)]"
101,"[(4, 0.85814065), (8, 0.01699732), (9, 0.08907909)]"
102,"[(3, 0.51311564), (4, 0.22358364), (6, 0.21703398), (9, 0.018718215)]"
103,"[(1, 0.058623046), (2, 0.17252481), (3, 0.015652584), (4, 0.23649935), (5, 0.06323017), (6, 0.037358433), (7, 0.11272889), (8, 0.27212754), (9, 0.028480612)]"
104,"[(0, 0.087366894), (1, 0.04031073), (2, 0.15018485), (3, 0.04236592), (4, 0.10529341), (5, 0.0114934435), (6, 0.07336334), (7, 0.14264648), (8, 0.17535135), (9, 0.17162359)]"
105,"[(1, 0.047729786), (2, 0.19526017), (3, 0.06199059), (4, 0.56639105), (7, 0.07196937), (8, 0.020071106), (9, 0.01968106)]"
106,"[(2, 0.18305552), (4, 0.5918823), (7, 0.02849104), (8, 0.17604081), (9, 0.010089033)]"
107,"[(1, 0.058236834), (2, 0.32943422), (3, 0.011601105), (4, 0.28910488), (7, 0.024458254), (8, 0.1719077), (9, 0.11061142)]"
108,"[(2, 0.20202775), (3, 0.015453624), (4, 0.44797608), (7, 0.057371512), (8, 0.020118784), (9, 0.25006697)]"
109,"[(0, 0.029128088), (1, 0.073689595), (2, 0.013391495), (3, 0.05368469), (4, 0.23206595), (6, 0.011667384), (7, 0.077877395), (8, 0.038609505), (9, 0.46930382)]"
11,"[(0, 0.09889639), (1, 0.048492912), (2, 0.12627792), (4, 0.034468763), (6, 0.066283874), (7, 0.2796507), (8, 0.14900357), (9, 0.18932112)]"
110,"[(0, 0.10476465), (1, 0.011999445), (2, 0.19654188), (3, 0.011685119), (4, 0.35363314), (6, 0.14540878), (7, 0.071980745), (8, 0.081142046), (9, 0.022604944)]"
111,"[(2, 0.02317023), (3, 0.06450484), (4, 0.43731582), (5, 0.044506166), (6, 0.037676457), (7, 0.038769994), (8, 0.2354634), (9, 0.11330194)]"
112,"[(0, 0.031293064), (2, 0.047431916), (3, 0.044166956), (4, 0.3943122), (6, 0.015200123), (8, 0.30954784), (9, 0.15122578)]"
113,"[(2, 0.02767119), (3, 0.12857382), (4, 0.34156388), (6, 0.059762888), (7, 0.10488013), (8, 0.26293626), (9, 0.06835188)]"
114,"[(1, 0.02229627), (2, 0.04174671), (4, 0.69257236), (7, 0.07044247), (8, 0.13344954), (9, 0.024478097)]"
115,"[(2, 0.39587495), (4, 0.25321633), (7, 0.049738586), (8, 0.28199577)]"
116,"[(0, 0.06363975), (2, 0.0962949), (3, 0.11957547), (4, 0.35426134), (7, 0.010116242), (8, 0.22115837), (9, 0.12912254)]"
117,"[(0, 0.06624486), (2, 0.12969221), (4, 0.30665097), (6, 0.028264364), (7, 0.1838508), (8, 0.014971685), (9, 0.2627992)]"
118,"[(2, 0.021490421), (3, 0.27972704), (4, 0.10501618), (5, 0.025016967), (6, 0.045743573), (7, 0.44701216), (9, 0.06388858)]"
119,"[(3, 0.18733358), (4, 0.40063065), (6, 0.07729083), (7, 0.09926699), (8, 0.16164066), (9, 0.06185713)]"
12,"[(0, 0.7316555), (7, 0.20234373), (8, 0.051967736)]"
120,"[(0, 0.012641235), (1, 0.033652823), (2, 0.24991533), (4, 0.28717855), (6, 0.02617031), (7, 0.01581351), (8, 0.3523694), (9, 0.02025413)]"
121,"[(1, 0.04617587), (2, 0.28173995), (3, 0.04424122), (4, 0.12609506), (6, 0.24369307), (7, 0.010709305), (8, 0.2055126), (9, 0.04001004)]"
122,"[(2, 0.035221037), (4, 0.7841506), (7, 0.019806491), (8, 0.08908514), (9, 0.06332625)]"
123,"[(1, 0.089797266), (2, 0.15924877), (3, 0.03761994), (4, 0.3481123), (6, 0.099800475), (7, 0.04771654), (8, 0.1536638), (9, 0.058625665)]"
124,"[(2, 0.1034737), (3, 0.4661297), (4, 0.22060704), (6, 0.01863359), (7, 0.088793695), (8, 0.057648864), (9, 0.04077961)]"
125,"[(0, 0.014202969), (2, 0.08111695), (3, 0.055637665), (4, 0.6249763), (6, 0.044020586), (7, 0.026465531), (8, 0.08587039), (9, 0.06628995)]"
126,"[(0, 0.03270014), (1, 0.015353406), (2, 0.15946673), (4, 0.35459995), (6, 0.069797665), (7, 0.13043801), (8, 0.22621334), (9, 0.010194098)]"
127,"[(2, 0.36374757), (3, 0.018342156), (4, 0.38096568), (5, 0.011310144), (6, 0.011592953), (7, 0.02084871), (8, 0.119620815), (9, 0.06286797)]"
128,"[(0, 0.038692363), (2, 0.22985038), (3, 0.09337463), (4, 0.20492932), (8, 0.3945806), (9, 0.027236376)]"
129,"[(0, 0.07918524), (1, 0.06160876), (2, 0.015250079), (4, 0.31149298), (7, 0.16915745), (8, 0.21112783), (9, 0.14509815)]"
13,"[(0, 0.2920921), (2, 0.03705612), (3, 0.13670084), (4, 0.11951585), (6, 0.033390075), (7, 0.041870657), (8, 0.17802274), (9, 0.16001977)]"
130,"[(2, 0.026293183), (3, 0.033737168), (4, 0.27916503), (6, 0.018340234), (7, 0.012790782), (8, 0.48004708), (9, 0.14502111)]"
131,"[(1, 0.035537433), (2, 0.0132400235), (4, 0.17763713), (7, 0.55311), (8, 0.19147503), (9, 0.013258016)]"
132,"[(0, 0.016662028), (2, 0.058279652), (4, 0.43995085), (8, 0.02409465), (9, 0.44565558)]"
133,"[(2, 0.0667142), (3, 0.054748774), (4, 0.439812), (7, 0.017768009), (8, 0.37266278), (9, 0.035672173)]"
134,"[(1, 0.07326539), (2, 0.19563612), (3, 0.015480964), (4, 0.29905623), (6, 0.048886307), (7, 0.26009926), (8, 0.020472739), (9, 0.08311996)]"
135,"[(0, 0.012577357), (4, 0.17661561), (6, 0.20907429), (7, 0.40669894), (9, 0.18096003)]"
136,"[(0, 0.17475389), (1, 0.22993134), (2, 0.17301346), (3, 0.13062337), (4, 0.07829739), (7, 0.108774506), (8, 0.06888671), (9, 0.032251574)]"
137,"[(2, 0.15237726), (3, 0.036029816), (4, 0.24002999), (6, 0.10041819), (8, 0.22670478), (9, 0.23480289)]"
138,"[(0, 0.047251645), (2, 0.6329871), (3, 0.035003904), (4, 0.14668909), (6, 0.018273892), (7, 0.010931438), (8, 0.029253624), (9, 0.076962605)]"
139,"[(2, 0.18666638), (3, 0.062276017), (4, 0.31626594), (6, 0.015669817), (7, 0.016362987), (8, 0.10624965), (9, 0.28978744)]"
14,"[(0, 0.09864805), (2, 0.1532092), (4, 0.13875443), (6, 0.1656486), (7, 0.18153803), (8, 0.22328302), (9, 0.03657896)]"
140,"[(0, 0.10604512), (2, 0.31092635), (4, 0.20386885), (7, 0.057879426), (8, 0.16787429), (9, 0.13875024)]"
141,"[(0, 0.09491866), (2, 0.019202434), (4, 0.054714862), (6, 0.09093112), (7, 0.46797088), (9, 0.2620877)]"
142,"[(0, 0.21225141), (4, 0.3753579), (8, 0.062221274), (9, 0.33058068)]"
143,"[(1, 0.1192611), (2, 0.25727102), (4, 0.2539473), (6, 0.036035433), (7, 0.20026225), (8, 0.05343961), (9, 0.07627848)]"
144,"[(2, 0.023447271), (4, 0.16252913), (5, 0.02311628), (7, 0.3247098), (8, 0.2739795), (9, 0.183284)]"
145,"[(2, 0.18763018), (3, 0.45732808), (4, 0.05093141), (5, 0.07382305), (7, 0.15728591), (8, 0.03437996), (9, 0.021125564)]"
146,"[(1, 0.13264841), (2, 0.1761513), (4, 0.2586379), (8, 0.25477803), (9, 0.16479115)]"
147,"[(1, 0.061740454), (2, 0.20768863), (3, 0.23114197), (4, 0.10751674), (8, 0.01668888), (9, 0.35892612)]"
148,"[(3, 0.74162555), (4, 0.10785656), (9, 0.12654479)]"
149,"[(0, 0.01786022), (1, 0.04434928), (2, 0.060853224), (3, 0.45297074), (4, 0.26285613), (6, 0.030135795), (7, 0.05918058), (8, 0.0244957), (9, 0.04698711)]"
15,"[(0, 0.19528078), (3, 0.08972284), (4, 0.09265049), (6, 0.106459536), (8, 0.43883336), (9, 0.0658633)]"
150,"[(0, 0.10335182), (3, 0.0537292), (4, 0.22603934), (6, 0.086298786), (7, 0.46129894), (9, 0.052177276)]"
151,"[(1, 0.108717196), (2, 0.10727531), (3, 0.12406774), (4, 0.23255701), (7, 0.1460398), (8, 0.1001602), (9, 0.17246473)]"
