id,odd
0,"[(0, 0.59329206), (2, 0.08536157), (3, 0.14334847), (4, 0.06608566), (6, 0.068249874), (8, 0.041045204)]"
1,"[(0, 0.03346347), (1, 0.37992465), (2, 0.26179817), (4, 0.010389754), (5, 0.037111726), (7, 0.14685223), (8, 0.122962736)]"
2,"[(0, 0.12718643), (1, 0.37273765), (2, 0.05829598), (4, 0.114257835), (6, 0.099997126), (8, 0.20000997), (9, 0.025140975)]"
3,"[(0, 0.251124), (1, 0.040861487), (4, 0.13670115), (7, 0.034086533), (8, 0.4048904), (9, 0.12607558)]"
4,"[(0, 0.14379597), (1, 0.02635335), (2, 0.21694253), (3, 0.030877372), (4, 0.41445833), (5, 0.02808429), (6, 0.03719474), (8, 0.100880094)]"
5,"[(0, 0.18286774), (2, 0.27725166), (4, 0.17801045), (5, 0.041150805), (7, 0.101533756), (8, 0.21650241)]"
6,"[(0, 0.19633237), (2, 0.10003246), (4, 0.37904063), (6, 0.16203019), (8, 0.07440375), (9, 0.08535335)]"
7,"[(0, 0.24584278), (2, 0.22060665), (5, 0.21000686), (6, 0.13244519), (7, 0.016063308), (8, 0.16652934)]"
8,"[(2, 0.5277862), (4, 0.15842353), (7, 0.03423849), (8, 0.27401522)]"
9,"[(1, 0.01976552), (2, 0.44271788), (3, 0.031803712), (4, 0.21292357), (6, 0.07454291), (7, 0.05361905), (8, 0.1009118), (9, 0.062519975)]"
10,"[(0, 0.17145213), (2, 0.37896585), (4, 0.24116038), (5, 0.019326871), (7, 0.09612123), (8, 0.06872072), (9, 0.014234139)]"
11,"[(0, 0.17392808), (2, 0.37169304), (4, 0.25569278), (5, 0.02010192), (7, 0.07980325), (8, 0.07398657), (9, 0.01661791)]"
12,"[(2, 0.73533505), (3, 0.02757849), (4, 0.1905475), (7, 0.041656885)]"
13,"[(0, 0.16014554), (2, 0.10592272), (4, 0.39815462), (6, 0.15489672), (8, 0.08289627), (9, 0.09489542)]"
14,"[(0, 0.2502089), (2, 0.16342579), (3, 0.103951424), (4, 0.16672136), (5, 0.15605891), (8, 0.1558279)]"
15,"[(0, 0.27040622), (2, 0.33168754), (4, 0.09210864), (8, 0.30085716)]"
16,"[(0, 0.13832377), (1, 0.020295378), (2, 0.18819237), (4, 0.5756137), (6, 0.02434261), (9, 0.050501745)]"
17,"[(0, 0.063713096), (1, 0.07312179), (2, 0.27955753), (4, 0.47395095), (5, 0.055172615), (9, 0.041852474)]"
18,"[(0, 0.9964225)]"
19,"[(0, 0.99656373)]"
20,"[(0, 0.24310663), (2, 0.25523683), (3, 0.038453586), (4, 0.01668588), (5, 0.019234331), (6, 0.015374166), (8, 0.4100976)]"
21,"[(0, 0.27556297), (4, 0.27380314), (5, 0.012599931), (6, 0.022469768), (7, 0.26869774), (8, 0.14363636)]"
22,"[(0, 0.09832316), (2, 0.16907062), (4, 0.34731653), (6, 0.19912203), (7, 0.10863538), (8, 0.011920059), (9, 0.06417467)]"
23,"[(2, 0.03183587), (3, 0.15990092), (4, 0.579361), (6, 0.12162416), (7, 0.06982374), (8, 0.035092816)]"
24,"[(2, 0.09316487), (3, 0.010066405), (6, 0.62019175), (8, 0.18533653), (9, 0.081911445)]"
25,"[(0, 0.25112486), (1, 0.040862292), (4, 0.1366992), (7, 0.03408702), (8, 0.40488955), (9, 0.12607364)]"
26,"[(0, 0.07218292), (2, 0.5561701), (4, 0.32868844), (7, 0.036920235)]"
27,"[(0, 0.1911511), (1, 0.069204494), (2, 0.35653174), (4, 0.14176114), (7, 0.2262837), (8, 0.010649921)]"
28,"[(0, 0.041814007), (1, 0.018837694), (2, 0.46527737), (3, 0.032848597), (4, 0.19380386), (5, 0.012388203), (6, 0.016251992), (7, 0.07652787), (8, 0.14188008)]"
29,"[(0, 0.2363685), (2, 0.37913167), (6, 0.043497216), (7, 0.14530353), (8, 0.18080586)]"
30,"[(0, 0.03548625), (1, 0.038484205), (2, 0.14564063), (3, 0.030408563), (4, 0.36542442), (6, 0.36143196), (8, 0.0214305)]"
31,"[(1, 0.017887656), (2, 0.030473098), (4, 0.024877034), (5, 0.07119309), (6, 0.24186367), (7, 0.067575425), (8, 0.19009763), (9, 0.35460174)]"
32,"[(0, 0.060515333), (2, 0.2709617), (4, 0.40128458), (5, 0.17061764), (6, 0.024591027), (7, 0.026382174), (9, 0.043135382)]"
33,"[(0, 0.0528725), (2, 0.026493244), (4, 0.24792033), (5, 0.028570727), (6, 0.041592117), (7, 0.12936515), (8, 0.15060098), (9, 0.3219276)]"
34,"[(2, 0.036046896), (3, 0.021164117), (4, 0.17659338), (5, 0.0317381), (8, 0.29610503), (9, 0.43529388)]"
35,"[(0, 0.40771514), (2, 0.23696333), (4, 0.039973903), (7, 0.17884158), (8, 0.05867186), (9, 0.06547342)]"
36,"[(0, 0.034807347), (2, 0.45715722), (4, 0.11111294), (6, 0.038728125), (7, 0.05952614), (8, 0.15996753), (9, 0.13761157)]"
37,"[(2, 0.40109062), (4, 0.1674793), (7, 0.15005709), (8, 0.10426667), (9, 0.17294379)]"
38,"[(1, 0.022388943), (2, 0.5787914), (3, 0.038935717), (6, 0.019866379), (7, 0.2718573), (8, 0.063914)]"
39,"[(2, 0.6857807), (3, 0.019714518), (4, 0.22798097), (7, 0.029132308), (9, 0.034350052)]"
40,"[(0, 0.28931355), (1, 0.0430727), (2, 0.5185582), (4, 0.041804172), (7, 0.024229875), (9, 0.07501985)]"
41,"[(0, 0.12461391), (2, 0.011797053), (3, 0.02437205), (4, 0.2568795), (7, 0.0884431), (8, 0.21276112), (9, 0.2790891)]"
42,"[(0, 0.27432162), (2, 0.19028464), (4, 0.091154814), (7, 0.23049091), (8, 0.15555303), (9, 0.054884307)]"
43,"[(0, 0.108839355), (1, 0.010266874), (2, 0.06481089), (4, 0.4057743), (6, 0.032642983), (7, 0.012317824), (9, 0.3629056)]"
44,"[(0, 0.11336011), (1, 0.021661038), (2, 0.29236025), (4, 0.4234997), (9, 0.143549)]"
45,"[(0, 0.17436685), (2, 0.07170794), (4, 0.4166342), (6, 0.011579472), (7, 0.11610534), (9, 0.20086357)]"
46,"[(0, 0.122572005), (2, 0.5216401), (4, 0.26253435), (9, 0.08707383)]"
47,"[(2, 0.032113284), (5, 0.045683805), (7, 0.1373772), (8, 0.41841114), (9, 0.35037497)]"
48,"[(0, 0.2016301), (1, 0.028922891), (2, 0.18095148), (4, 0.015231784), (6, 0.131162), (7, 0.018365994), (8, 0.18375598), (9, 0.23783793)]"
49,"[(1, 0.027997954), (2, 0.2602703), (4, 0.06386205), (7, 0.030060194), (8, 0.23725626), (9, 0.37530473)]"
50,"[(0, 0.11048485), (2, 0.08841423), (3, 0.011546257), (4, 0.29632494), (6, 0.06228527), (7, 0.27080542), (8, 0.05283288), (9, 0.106588334)]"
